id,customer_id,bike_id,start_timestamp,duration,total_paid
1,1,1,2022-11-01 10:00:00,240,50.00
2,1,1,2022-11-02 10:00:00,245,50.00
3,1,1,2022-11-03 10:00:00,250,50.00
4,1,1,2022-11-04 10:00:00,235,50.00
5,1,1,2022-12-05 10:00:00,155,50.00
6,2,2,2022-12-08 11:00:00,250,60.00
7,3,3,2022-12-13 12:00:00,245,40.00
8,1,1,2023-01-05 10:00:00,240,50.00
9,2,2,2023-01-08 11:00:00,235,60.00
10,3,3,2023-02-13 12:00:00,245,40.00
11,1,1,2023-03-05 10:00:00,250,50.00
12,2,2,2023-03-08 11:00:00,355,60.00
13,3,3,2023-04-13 12:00:00,240,40.00
14,1,1,2023-04-01 10:00:00,235,50.00
15,1,6,2023-05-01 10:00:00,245,60.00
16,1,2,2023-05-01 10:00:00,250,60.00
17,1,3,2023-06-01 10:00:00,235,40.00
18,1,4,2023-06-01 10:00:00,255,75.00
19,1,5,2023-07-01 10:00:00,240,50.00
20,2,2,2023-07-02 11:00:00,445,60.00
21,3,3,2023-07-03 12:00:00,250,40.00
22,4,4,2023-08-04 13:00:00,235,75.00
23,5,5,2023-08-05 14:00:00,555,50.00
24,6,6,2023-09-06 15:00:00,240,60.00
25,7,7,2023-09-07 16:00:00,245,40.00
26,8,8,2023-09-08 17:00:00,250,75.00
27,9,9,2023-10-09 18:00:00,335,50.00
28,10,10,2023-10-10 19:00:00,255,60.00
29,10,1,2023-10-10 19:00:00,240,50.00
30,10,2,2023-10-10 19:00:00,245,60.00
31,10,3,2023-10-10 19:00:00,250,40.00
32,10,4,2023-10-10 19:00:00,235,75.00
